ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass 
8460,Business,20,Female,High School Equivalent,Married,1,2,IHG,22,No,18,Yes,Business,0.021057608,Silver
8461,Self-Employed,60,Female,MBA,Single,,2.67,IHG,3,No,10,Yes,Medical Tourism,36257.4553,Bronze
8462,Self-Employed,55,Female,MBA,Divorced,,2.15,None,33,No,11,Yes,Medical Tourism,3825.16418,Silver
8463,Private Sector,,,MBA,Married,,3.09,Marriott,5,No,2,Yes,Medical Tourism,79.73410596,Silver
8464,Private Sector,42,,Associate Degree,Married,0,3.13,Discovery,17,No,15,Yes,Medical Tourism,860.978984,Bronze
8465,Business,33,Male,High School Equivalent,Divorced,1,2.94,IHG,19,Yes,0,No,Business,1.627638627,Silver
8466,Private Sector,22,Female,Masters Degree,Married,,3.7,Marriott,15,Yes,0,No,Medical Tourism,0,Silver
8467,Private Sector,19,Female,MBA,Married,1,2.48,IHG,16,No,20,No,Leisure Travel,0,Bronze
8468,Business,,Male,High School Equivalent,Single,,3.19,Expedia,47,No,2,Yes,Medical Tourism,0,Bronze
8469,Business,,Male,Associate Degree,Single,,3.22,Marriott,41,No,4,No,Medical Tourism,353.9279072,Silver
8470,Private Sector,,,Associate Degree,Single,0,2.38,Marriott,1,No,10,Yes,Business,3043.761599,Gold
8471,Business,41,Male,High School Equivalent,Divorced,0,3.84,IHG,46,Yes,0,No,Leisure Travel,11301.0977,Silver
8472,Public Sector,,,Associate Degree,Divorced,1,2.61,Jumeirah,36,No,9,No,Leisure Travel,904.7370038,Gold
8473,Private Sector,27,,Associate Degree,Married,,2.89,Marriott,27,No,1,No,Business,0,Silver
8474,Self-Employed,19,Female,High School Equivalent,Divorced,,3.05,Discovery,45,Yes,0,Yes,Business,0,Silver
8475,Private Sector,,,MBA,Single,,2.96,Marriott,22,Yes,0,Yes,Business,4110.357709,Silver
8476,Self-Employed,,Female,MBA,Single,0,2.02,Jumeirah,29,No,4,Yes,Leisure Travel,0.047204352,Bronze
8477,Self-Employed,55,Female,Professional,Married,1,3.13,Marriott,34,No,15,No,Leisure Travel,35147.62937,Bronze
8478,Public Sector,57,,Bachelors Degree,Single,,2.23,Marriott,41,Yes,0,No,Medical Tourism,0,Gold
8479,Private Sector,,,High School Equivalent,Divorced,1,3.19,Jumeirah,13,No,17,No,Leisure Travel,1567.989543,Bronze
8480,Public Sector,,,Associate Degree,Single,,3.53,IHG,,No,13,Yes,Leisure Travel,0,Silver
8481,Private Sector,,Female,MBA,Single,,3.22,IHG,14,No,4,Yes,Medical Tourism,0,Silver
8482,Public Sector,53,Male,MBA,Single,0,2.88,Marriott,16,Yes,0,No,Business,9979.856309,Bronze
8483,Business,,,Associate Degree,Single,,1.14,IHG,29,No,5,No,Medical Tourism,0,Bronze
8484,Business,57,Female,High School Equivalent,Married,3,3.03,IHG,24,No,7,Yes,Business,3698.841851,Silver
8485,Business,40,Female,High School Equivalent,Widowed,1,2.84,Marriott,23,No,5,No,Leisure Travel,0,Bronze
8486,Public Sector,,,Bachelors Degree,Single,0,1.86,Discovery,21,Yes,0,No,Leisure Travel,0,Silver
8487,Private Sector,,,MBA,Single,0,3.74,IHG,37,No,4,No,Leisure Travel,577.3910938,Silver
8488,Business,,Female,Associate Degree,Divorced,0,2.86,None,4,Yes,0,Yes,Business,0,Bronze
8489,Private Sector,,Male,Professional,Married,1,3.52,Marriott,38,Yes,0,No,Leisure Travel,0,Silver
8490,Business,45,Male,Bachelors Degree,Single,0,3.38,Marriott,7,Yes,0,No,Business,2051.957247,Silver
8491,Self-Employed,,Female,MBA,Divorced,1,2.71,IHG,4,No,11,Yes,Business,133.8306522,Silver
8492,Business,,Female,MBA,Married,3,4,Marriott,41,Yes,0,No,Leisure Travel,96.54900156,Silver
8493,Private Sector,42,Female,High School Equivalent,Divorced,,3.46,IHG,31,No,17,No,Business,1059.177673,Silver
8494,Private Sector,19,Female,High School Equivalent,Married,1,3.02,Marriott,26,No,17,Yes,Business,18586.88175,Silver
8495,Private Sector,,Male,High School Equivalent,Married,0,2.39,None,21,No,2,No,Business,0.087019444,Silver
8496,Public Sector,,,High School Equivalent,Married,,2.63,Hilton,12,No,8,Yes,Medical Tourism,0,Bronze
8497,Public Sector,,Male,Bachelors Degree,Married,0,2.13,IHG,26,No,5,No,Medical Tourism,0,Silver
8498,Private Sector,53,,MBA,Divorced,,3,IHG,38,No,10,No,Business,21.68602037,Silver
8499,Business,,Male,MBA,Divorced,,2.67,None,13,No,7,Yes,Leisure Travel,3984.230938,Bronze
8500,Public Sector,,,Associate Degree,Married,4,3.77,IHG,37,Yes,0,Yes,Leisure Travel,10661.78547,Gold
8501,Public Sector,48,Female,High School Equivalent,Single,0,2.12,Hilton,17,No,17,No,Medical Tourism,0,Bronze
8502,Private Sector,18,,High School Equivalent,Married,,3.47,IHG,26,No,9,No,Medical Tourism,2370.169186,Bronze
8503,Public Sector,48,Female,High School Equivalent,Married,3,3.25,IHG,13,Yes,0,Yes,Leisure Travel,795.1961775,Silver
8504,Business,,Female,MBA,Single,,2.83,None,29,No,20,No,Medical Tourism,3.05925014,Bronze
8505,Private Sector,,Female,MBA,Married,,3.02,IHG,42,No,16,No,Medical Tourism,5.72333E-05,Silver
8506,Public Sector,19,Female,High School Equivalent,Single,,3.32,Marriott,20,Yes,0,Yes,Leisure Travel,8322.672324,Silver
8507,Private Sector,,,MBA,Single,,3.06,IHG,16,No,12,No,Business,1.92343E-05,Silver
8508,Public Sector,,Female,High School Equivalent,Divorced,,3.8,IHG,44,No,1,No,Leisure Travel,12539.1103,Silver
8509,Business,,,Professional,Married,1,3.49,IHG,1,No,19,Yes,Medical Tourism,1856.887525,Gold
8510,Public Sector,,,Professional,Widowed,1,3.19,Marriott,31,No,11,No,Medical Tourism,9.115601502,Silver
8511,Business,57,Female,Professional,Divorced,,3.26,None,21,No,20,No,Medical Tourism,103.646075,Silver
8512,Business,,Female,MBA,Single,,2.93,Expedia,37,No,6,Yes,Business,8328.526839,Bronze
8513,Private Sector,26,,Professional,Divorced,,2.07,None,24,No,16,Yes,Business,0,Silver
8514,Business,42,Female,MBA,Married,3,2.53,Discovery,13,No,15,Yes,Business,7.785628934,Bronze
8515,Business,35,Female,High School Equivalent,Single,,2.75,Marriott,47,No,10,No,Leisure Travel,0,Silver
8516,Private Sector,,,High School Equivalent,Single,,3.68,IHG,15,No,2,No,Medical Tourism,0,Silver
8517,Private Sector,32,Male,Bachelors Degree,Married,4,3.02,IHG,,Yes,0,Yes,Leisure Travel,270.7289933,Bronze
8518,Business,,Male,High School Equivalent,Divorced,1,2.84,None,18,No,4,Yes,Medical Tourism,51.43435012,Bronze
8519,Private Sector,29,Female,MBA,Single,0,3.35,Discovery,18,No,18,No,Leisure Travel,37.39409301,Bronze
8520,Private Sector,19,Female,MBA,Married,,3.35,IHG,17,No,5,Yes,Leisure Travel,0,Silver
8521,Business,,Female,High School Equivalent,Divorced,1,2.64,None,12,No,17,Yes,Business,0,Gold
8522,,,Female,High School Equivalent,Married,1,3.32,Discovery,20,No,6,Yes,Business,9664.844735,Bronze
8523,Public Sector,,Male,Associate Degree,Single,0,3.9,Discovery,42,Yes,0,No,Medical Tourism,882.0560839,Bronze
8524,Business,49,Female,MBA,Married,1,2.66,IHG,41,No,8,Yes,Leisure Travel,77.47721745,Bronze
8525,Private Sector,55,Male,Associate Degree,Divorced,,3.97,IHG,35,No,18,No,Leisure Travel,0,Silver
8526,Private Sector,,,Bachelors Degree,Married,1,2.75,IHG,30,Yes,0,No,Leisure Travel,187.7901203,Silver
8527,Private Sector,49,Male,Associate Degree,Single,0,3.28,Marriott,,No,3,No,Medical Tourism,0,Silver
8528,Public Sector,39,Male,High School Equivalent,Married,,2.74,IHG,,No,8,No,Business,0,Silver
8529,Private Sector,23,Female,Professional,Divorced,3,3.57,Marriott,,No,15,No,Business,2169.15342,Silver
8530,Business,,Female,Associate Degree,Married,3,2.96,None,4,No,3,No,Medical Tourism,0,Silver
8531,,44,,Professional,Married,,3,IHG,7,Yes,0,No,Leisure Travel,1.580244889,Bronze
8532,Self-Employed,51,Male,High School Equivalent,Single,0,2.5,Marriott,7,No,12,No,Medical Tourism,0,Bronze
8533,Business,49,Female,High School Equivalent,Widowed,0,2.46,Discovery,6,No,18,Yes,Business,0,Bronze
8534,,49,Male,Associate Degree,Widowed,,3.27,IHG,,No,3,Yes,Leisure Travel,83.92542035,Silver
8535,Private Sector,48,,High School Equivalent,Widowed,3,2.88,IHG,40,Yes,0,Yes,Business,9.49855E-07,Silver
8536,Private Sector,,Male,High School Equivalent,Widowed,1,2.83,Marriott,,Yes,0,No,Business,0,Bronze
8537,Self-Employed,,,High School Equivalent,Divorced,,2.59,None,48,No,8,No,Business,2397.633375,Silver
8538,Business,42,,MBA,Divorced,,2.66,IHG,8,No,5,Yes,Business,0,Bronze
8539,Business,,Female,High School Equivalent,Single,0,2.76,Discovery,,No,10,No,Business,0,Bronze
8540,Private Sector,,Female,Bachelors Degree,Married,,2.97,Expedia,38,No,1,Yes,Leisure Travel,0,Silver
8541,Private Sector,,,MBA,Single,0,2.85,None,43,No,11,Yes,Business,9.311051071,Silver
8542,Private Sector,32,Female,High School Equivalent,Single,0,1.33,None,19,No,6,Yes,Leisure Travel,0,Bronze
8543,Self-Employed,,Male,High School Equivalent,Single,0,3.13,IHG,39,Yes,0,No,Medical Tourism,0,Bronze
8544,Public Sector,,Female,MBA,Divorced,,2.82,Marriott,,No,16,No,Leisure Travel,0,Silver
8545,Self-Employed,39,Female,Associate Degree,Married,3,2.25,Marriott,45,Yes,0,No,Leisure Travel,0.357760356,Silver
8546,Private Sector,,Female,Bachelors Degree,Divorced,1,1.85,Expedia,27,No,17,Yes,Leisure Travel,3.195798009,Bronze
8547,Private Sector,,Female,Bachelors Degree,Divorced,1,2.72,None,9,No,12,Yes,Medical Tourism,0,Bronze
8548,Private Sector,,Male,High School Equivalent,Married,,2.93,IHG,49,No,3,No,Business,0,Silver
8549,Public Sector,47,Female,High School Equivalent,Divorced,2,2.38,Marriott,48,No,16,No,Business,0.72498082,Bronze
8550,,52,,Professional,Married,,3.29,Marriott,7,No,3,No,Leisure Travel,0,Silver
8551,Public Sector,,,Professional,Single,0,3.34,None,10,Yes,0,No,Leisure Travel,0,Bronze
8552,Public Sector,42,,High School Equivalent,Single,0,2.83,IHG,19,Yes,0,No,Leisure Travel,1539.095582,Bronze
8553,Private Sector,20,,Associate Degree,Married,,2.32,Hilton,17,No,13,Yes,Medical Tourism,0,Silver
8554,Private Sector,,Female,Bachelors Degree,Married,,2.58,None,12,Yes,0,No,Leisure Travel,986.1927969,Silver
8555,Private Sector,51,Female,MBA,Single,0,3.62,IHG,24,Yes,0,No,Business,0,Bronze
8556,Business,26,Female,High School Equivalent,Divorced,,2.23,Hilton,11,No,11,Yes,Business,12.25585637,Bronze
8557,Business,52,Male,Associate Degree,Divorced,0,3.06,Marriott,8,No,19,No,Business,0,Silver
8558,Private Sector,,Female,Associate Degree,Married,3,2.45,IHG,5,No,7,Yes,Business,0,Bronze
8559,Private Sector,,Male,Associate Degree,Married,,2.69,Marriott,37,Yes,0,No,Medical Tourism,0,Silver
8560,Private Sector,43,Female,MBA,Married,,3.2,IHG,39,No,10,No,Leisure Travel,1153.861757,Silver
8561,Business,,,Technical/Occupational Certificate,Single,0,3.55,None,43,No,1,No,Medical Tourism,0,Bronze
8562,Private Sector,42,Male,MBA,Widowed,,3.17,None,1,Yes,0,No,Medical Tourism,0,Silver
8563,Private Sector,,Male,Bachelors Degree,Single,0,4,IHG,6,No,5,Yes,Leisure Travel,338.6118949,Silver
8564,Business,35,Female,Professional,Married,,3.48,IHG,14,No,11,Yes,Medical Tourism,200.2270877,Silver
8565,Self-Employed,,Female,Associate Degree,Divorced,1,3.74,IHG,47,No,7,No,Leisure Travel,0,Silver
8566,Private Sector,,,High School Equivalent,Married,1,2.36,Marriott,,No,8,Yes,Leisure Travel,1934.613746,Silver
8567,Public Sector,,Female,MBA,Married,,2.79,IHG,43,Yes,0,No,Business,27.92476922,Silver
8568,Business,,Male,High School Equivalent,Married,,2.45,IHG,9,No,18,Yes,Medical Tourism,2842.027097,Bronze
8569,Public Sector,23,,Bachelors Degree,Single,0,2.54,Discovery,32,No,19,Yes,Leisure Travel,145.5213246,Gold
8570,Business,39,Female,Associate Degree,Married,,2.88,Discovery,28,No,17,No,Leisure Travel,11276.13891,Silver
8571,Business,40,Male,MBA,Married,,2.85,IHG,,No,1,No,Business,0,Silver
8572,Private Sector,,Female,MBA,Married,1,2.17,Expedia,23,No,10,Yes,Medical Tourism,0,Bronze
8573,Business,52,Female,High School Equivalent,Widowed,,2.33,Marriott,30,No,8,No,Leisure Travel,6322.87381,Silver
8574,Public Sector,44,Female,Bachelors Degree,Single,0,2.37,IHG,24,Yes,0,No,Leisure Travel,0.327383262,Bronze
8575,Self-Employed,49,Female,MBA,Married,4,2.75,Marriott,32,No,15,No,Business,0,Silver
8576,Private Sector,50,Male,High School Equivalent,Divorced,,3.09,None,7,No,8,No,Medical Tourism,2552.73853,Silver
8577,Business,,Male,Bachelors Degree,Married,1,3.01,IHG,8,Yes,0,Yes,Business,0,Silver
8578,Self-Employed,,,High School Equivalent,Married,,3.2,Hilton,47,No,17,Yes,Business,0,Silver
8579,Business,21,,Associate Degree,Married,,2.44,IHG,47,No,7,Yes,Business,0,Silver
8580,Private Sector,,Female,Doctorate,Divorced,0,2.87,IHG,5,No,3,No,Business,36673.96475,Silver
8581,Public Sector,18,Female,MBA,Single,,2.78,None,,No,1,Yes,Business,74.83829831,Bronze
8582,Public Sector,,Female,High School Equivalent,Divorced,1,2.54,None,44,No,16,Yes,Business,1159.393952,Silver
8583,Private Sector,,Female,Professional,Single,0,2.43,Jumeirah,,No,17,No,Business,0.141259644,Silver
8584,Public Sector,,Female,Masters Degree,Married,0,2.14,None,32,No,5,Yes,Leisure Travel,3.93653E-05,Silver
8585,Private Sector,,Female,High School Equivalent,Married,3,3.2,Discovery,22,No,10,No,Medical Tourism,230.3404816,Silver
8586,Self-Employed,18,Male,Doctorate,Married,,2.92,None,15,No,8,No,Leisure Travel,400.0704844,Bronze
8587,Private Sector,26,Female,High School Equivalent,Single,0,2.5,Discovery,31,No,5,Yes,Leisure Travel,134.9763567,Silver
8588,Public Sector,20,Female,Associate Degree,Divorced,1,2.84,IHG,39,No,4,No,Medical Tourism,1915.159221,Bronze
8589,Public Sector,,Male,Associate Degree,Single,0,2.72,Discovery,49,No,2,Yes,Leisure Travel,31.14836866,Silver
8590,Business,,Female,Masters Degree,Divorced,,3.02,IHG,33,No,6,Yes,Leisure Travel,0.62258283,Silver
8591,Private Sector,43,Female,Associate Degree,Divorced,,3.32,Marriott,34,No,19,No,Medical Tourism,467.6345471,Silver
8592,Public Sector,,Female,Professional,Single,0,2.51,None,34,No,2,No,Business,57.20790636,Bronze
8593,Business,60,Female,High School Equivalent,Married,1,2.29,Marriott,47,Yes,0,Yes,Business,0,Silver
8594,Private Sector,30,Female,MBA,Married,,3.63,IHG,35,No,1,Yes,Business,0,Silver
8595,Self-Employed,47,Male,High School Equivalent,Married,1,2.83,Discovery,20,No,12,No,Business,719.9805268,Bronze
8596,,22,Female,High School Equivalent,Single,,3.18,None,30,No,7,Yes,Leisure Travel,0.000179071,Silver
8597,Private Sector,57,Female,High School Equivalent,Single,,2.54,Expedia,27,No,8,No,Leisure Travel,0,Bronze
8598,Public Sector,,,High School Equivalent,Married,,2.8,IHG,30,No,20,No,Leisure Travel,1032.053445,Bronze
8599,Self-Employed,45,Female,Associate Degree,Married,1,2.34,Jumeirah,24,No,7,No,Business,0,Bronze
8600,Private Sector,42,Female,MBA,Married,,2.27,IHG,39,No,9,Yes,Medical Tourism,0,Silver
8601,Public Sector,49,Female,High School Equivalent,Divorced,1,3.61,Marriott,33,No,7,No,Business,0,Silver
8602,Private Sector,,Female,Associate Degree,Married,,2.8,Marriott,23,No,9,No,Leisure Travel,14432.59452,Gold
8603,Business,40,,Professional,Married,3,3.5,Discovery,43,No,17,Yes,Business,6.697212753,Silver
8604,Private Sector,,Female,High School Equivalent,Divorced,,2.77,Marriott,4,No,6,Yes,Medical Tourism,0,Silver
8605,Private Sector,44,Female,Bachelors Degree,Single,0,2.58,Jumeirah,17,Yes,0,Yes,Medical Tourism,2.06574E-07,Silver
8606,Public Sector,,Female,Associate Degree,Married,,3.27,Jumeirah,45,No,16,No,Leisure Travel,1203.285659,Silver
8607,Business,26,Female,Associate Degree,Single,0,3.21,None,38,No,4,No,Leisure Travel,0.013382293,Bronze
8608,Self-Employed,48,Male,Professional,Married,,2.03,Marriott,4,No,7,No,Medical Tourism,0.201585475,Gold
8609,Self-Employed,,Male,High School Equivalent,Married,0,3.27,Marriott,27,Yes,0,Yes,Medical Tourism,6221.698363,Bronze
8610,Self-Employed,32,Female,MBA,Married,1,2.73,None,,Yes,0,No,Medical Tourism,383.0787913,Silver
8611,Private Sector,,Female,Doctorate,Married,1,2.69,Marriott,13,Yes,0,Yes,Medical Tourism,0.00618888,Silver
8612,Private Sector,,Male,Associate Degree,Divorced,,3.72,Marriott,42,No,15,Yes,Medical Tourism,0,Bronze
8613,Business,33,Female,Bachelors Degree,Married,2,3.03,None,48,Yes,0,Yes,Business,0.029643545,Bronze
8614,Business,,Female,High School Equivalent,Married,1,3.21,None,26,No,14,No,Medical Tourism,12073.19512,Bronze
8615,Private Sector,,Female,Bachelors Degree,Single,,2.78,IHG,23,No,11,Yes,Business,1.786267566,Silver
8616,Private Sector,,Male,Technical/Occupational Certificate,Divorced,,2.73,Hilton,32,Yes,0,No,Medical Tourism,2266.41779,Silver
8617,Public Sector,,Female,MBA,Single,0,2.69,Marriott,32,No,12,Yes,Leisure Travel,9.937925239,Bronze
8618,Private Sector,49,Male,Associate Degree,Divorced,3,3.08,IHG,2,No,5,Yes,Business,15.68902005,Bronze
8619,Private Sector,19,,MBA,Married,1,1.85,IHG,24,No,6,No,Medical Tourism,160.3055269,Silver
8620,Self-Employed,,Female,Masters Degree,Single,0,2.8,IHG,37,No,10,No,Business,0,Silver
8621,Business,30,Female,Associate Degree,Widowed,,3.06,IHG,24,No,20,Yes,Leisure Travel,623.1732159,Silver
8622,Public Sector,,Male,Doctorate,Married,1,3.05,IHG,31,Yes,0,No,Medical Tourism,0,Bronze
8623,Private Sector,,Female,Associate Degree,Divorced,1,2.84,Marriott,4,No,17,No,Medical Tourism,1.111669016,Silver
8624,Public Sector,32,Female,High School Equivalent,Married,1,2.63,IHG,11,No,18,Yes,Business,36883.24434,Silver
8625,Business,,Female,Bachelors Degree,Single,0,2.96,Marriott,38,Yes,0,Yes,Business,0,Silver
8626,Private Sector,31,Male,High School Equivalent,Married,,2.86,None,35,No,11,Yes,Medical Tourism,8728.766967,Silver
8627,Public Sector,,Male,Associate Degree,Divorced,,2.88,IHG,39,Yes,0,No,Leisure Travel,0,Bronze
8628,Business,44,Male,High School Equivalent,Widowed,,2.85,None,21,No,13,No,Business,0,Bronze
8629,,27,,MBA,Divorced,4,3.16,Hilton,13,No,19,No,Leisure Travel,0,Bronze
8630,Private Sector,,,MBA,Married,0,2.95,Marriott,39,Yes,0,Yes,Business,9.398012798,Silver
8631,Private Sector,35,Female,MBA,Married,1,2.55,IHG,36,No,16,No,Business,38849.26458,Silver
8632,Private Sector,,,Bachelors Degree,Single,,2.65,IHG,31,No,7,Yes,Business,548.7045828,Bronze
8633,Private Sector,46,Male,Professional,Single,,3.14,Marriott,22,No,19,Yes,Leisure Travel,0,Bronze
8634,Public Sector,,Male,MBA,Single,,3.46,Marriott,27,No,8,Yes,Medical Tourism,0,Bronze
8635,Private Sector,42,Female,High School Equivalent,Married,1,2.56,IHG,28,No,8,Yes,Leisure Travel,23.11499284,Silver
8636,Private Sector,33,,High School Equivalent,Married,,3.61,Jumeirah,0,No,16,No,Business,76.1939168,Silver
8637,Business,27,Female,Associate Degree,Single,,2.73,None,22,No,12,No,Leisure Travel,1844.319445,Bronze
8638,Private Sector,49,Female,Masters Degree,Divorced,0,3.09,None,38,Yes,0,No,Leisure Travel,0.549423095,Silver
8639,Private Sector,,Female,Doctorate,Married,,2.78,Marriott,46,No,2,Yes,Leisure Travel,0,Silver
8640,Private Sector,51,,High School Equivalent,Married,,2.57,Expedia,,No,16,Yes,Medical Tourism,3479.038409,Silver
8641,Private Sector,38,Male,High School Equivalent,Married,3,3.14,IHG,16,No,14,No,Medical Tourism,316.9709392,Bronze
8642,Business,,Female,Bachelors Degree,Widowed,1,3.72,IHG,47,No,4,No,Leisure Travel,39.90194867,Bronze
8643,Private Sector,,,High School Equivalent,Divorced,1,3.85,Discovery,11,No,2,Yes,Leisure Travel,0,Silver
8644,Business,45,Female,Doctorate,Divorced,,2.22,Discovery,34,No,7,No,Medical Tourism,425.8860758,Silver
8645,Public Sector,19,Female,High School Equivalent,Single,,4,Marriott,49,No,19,Yes,Business,0,Bronze
8646,Private Sector,,Female,Doctorate,Divorced,0,4,Marriott,20,No,16,No,Medical Tourism,0.003772293,Silver
8647,Business,,Female,High School Equivalent,Divorced,1,2.84,IHG,46,No,14,No,Leisure Travel,1257.91592,Silver
8648,Private Sector,,Female,Masters Degree,Married,1,3.53,IHG,8,Yes,0,Yes,Leisure Travel,4424.119062,Silver
8649,Private Sector,38,,High School Equivalent,Divorced,1,2.49,Discovery,47,No,8,Yes,Leisure Travel,1990.416523,Silver
8650,Private Sector,,Female,Associate Degree,Divorced,,3.77,Expedia,9,Yes,0,No,Medical Tourism,8.501591777,Silver
8651,Business,,Female,High School Equivalent,Married,,2.87,Marriott,40,No,5,No,Leisure Travel,1380.366337,Silver
8652,Business,,Female,High School Equivalent,Married,,2.53,None,10,No,4,No,Medical Tourism,6606.100933,Silver
8653,Self-Employed,43,Female,High School Equivalent,Single,0,3.58,IHG,43,No,7,Yes,Medical Tourism,4595.358549,Bronze
8654,Self-Employed,,Female,Bachelors Degree,Married,1,3.13,Discovery,16,No,18,Yes,Leisure Travel,0,Silver
8655,Private Sector,,Female,MBA,Single,,3.58,None,47,No,2,Yes,Medical Tourism,3168.831074,Silver
8656,Business,35,Female,MBA,Married,,2.08,Jumeirah,42,Yes,0,Yes,Medical Tourism,2254.844233,Silver
8657,Public Sector,,Female,Bachelors Degree,Single,0,1.88,Expedia,31,No,8,No,Leisure Travel,0,Silver
8658,Business,30,Female,Doctorate,Divorced,1,2.92,Expedia,15,Yes,0,Yes,Leisure Travel,14.29708389,Silver
8659,Private Sector,19,Female,MBA,Widowed,0,2.74,IHG,7,No,12,Yes,Medical Tourism,0,Silver
8660,Business,,Male,Professional,Widowed,,3.6,IHG,15,Yes,0,No,Medical Tourism,0,Gold
8661,Self-Employed,35,Female,High School Equivalent,Single,0,3.15,Marriott,6,No,13,No,Medical Tourism,15.25068568,Silver
8662,Business,35,,Associate Degree,Single,0,2.74,Discovery,47,Yes,0,No,Business,0,Bronze
8663,Business,27,Female,Associate Degree,Divorced,,2.01,IHG,34,Yes,0,No,Business,784.1713418,Silver
8664,Public Sector,30,,MBA,Single,,2.94,None,46,No,8,No,Medical Tourism,0.003781384,Bronze
8665,Private Sector,59,Male,Bachelors Degree,Single,,3.35,IHG,31,Yes,0,No,Business,0,Silver
8666,Private Sector,,Female,MBA,Single,,2.22,Discovery,9,Yes,0,Yes,Medical Tourism,0,Silver
8667,Private Sector,60,,MBA,Married,1,3.8,None,38,Yes,0,Yes,Leisure Travel,1418.641809,Silver
8668,Business,,,High School Equivalent,Married,4,3.09,Discovery,39,No,5,No,Business,1643.089687,Bronze
8669,Private Sector,35,Female,High School Equivalent,Single,0,2.76,IHG,14,No,20,No,Business,0,Silver
8670,Business,39,,MBA,Single,0,2.8,Marriott,44,No,20,No,Medical Tourism,165.2688995,Gold
8671,Private Sector,,Female,Associate Degree,Single,0,2.93,IHG,36,Yes,0,Yes,Business,0,Silver
8672,Private Sector,49,,Associate Degree,Married,1,3.3,Discovery,14,No,18,Yes,Medical Tourism,0,Bronze
8673,Private Sector,22,Female,High School Equivalent,Married,,2.57,Jumeirah,20,Yes,0,Yes,Business,3363.43348,Silver
8674,Public Sector,58,Male,MBA,Divorced,3,3.19,Marriott,13,Yes,0,No,Medical Tourism,0.309755949,Bronze
8675,Public Sector,27,Female,MBA,Married,3,3.07,Discovery,19,No,9,Yes,Business,1.81629E-07,Bronze
8676,Private Sector,46,Male,High School Equivalent,Married,,2.83,Expedia,4,No,17,No,Leisure Travel,0,Bronze
8677,Public Sector,,Female,High School Equivalent,Single,0,2.75,Marriott,13,No,2,Yes,Leisure Travel,0,Bronze
8678,Business,22,Female,Masters Degree,Divorced,0,2.39,Discovery,46,No,6,No,Leisure Travel,21436.514,Silver
8679,,,Male,MBA,Divorced,3,2.5,Marriott,25,Yes,0,Yes,Leisure Travel,369.1761798,Silver
8680,Private Sector,,,High School Equivalent,Married,1,4,IHG,,No,2,Yes,Medical Tourism,0.732507004,Silver
8681,Business,28,Female,High School Equivalent,Single,0,3.21,Marriott,,No,5,No,Medical Tourism,11340.97473,Silver
8682,Private Sector,51,Male,High School Equivalent,Divorced,1,2.33,Marriott,4,No,19,Yes,Leisure Travel,1211.906182,Bronze
8683,,,Female,Masters Degree,Married,,2.49,Marriott,9,No,11,Yes,Business,631.9243581,Silver
8684,Public Sector,,Female,Associate Degree,Widowed,1,3.22,Marriott,31,No,2,No,Leisure Travel,0,Silver
8685,Private Sector,24,Female,High School Equivalent,Single,0,3.44,None,29,No,15,Yes,Business,0,Silver
8686,Private Sector,50,Female,Professional,Married,,1.68,Marriott,48,Yes,0,Yes,Medical Tourism,0,Silver
8687,Business,42,Female,High School Equivalent,Single,,3.42,Marriott,15,No,11,Yes,Business,0,Silver
8688,Self-Employed,,,Associate Degree,Married,1,2.23,IHG,38,No,17,No,Leisure Travel,450.0172058,Bronze
8689,Business,49,Female,MBA,Single,,2.98,IHG,6,No,1,No,Medical Tourism,8374.077144,Silver
8690,Private Sector,35,Male,High School Equivalent,Divorced,4,3.15,IHG,13,No,20,No,Medical Tourism,4447.196168,Silver
8691,Business,30,Female,Associate Degree,Single,0,3.2,Marriott,27,No,18,Yes,Medical Tourism,209.4501795,Bronze
8692,Business,20,Male,High School Equivalent,Married,1,3.91,Marriott,43,No,14,No,Medical Tourism,8502.74262,Silver
8693,Private Sector,30,,Bachelors Degree,Married,,2.34,Hilton,47,Yes,0,No,Leisure Travel,0,Bronze
8694,Private Sector,,Female,Associate Degree,Married,0,3.16,Discovery,0,Yes,0,No,Leisure Travel,0,Silver
8695,Private Sector,,,High School Equivalent,Married,0,3.38,IHG,3,No,8,No,Leisure Travel,0,Bronze
8696,Business,,Male,MBA,Divorced,1,3.62,IHG,5,No,4,Yes,Business,0.681358504,Silver
8697,Private Sector,,Female,High School Equivalent,Single,0,2.83,IHG,5,No,13,Yes,Business,922.6278577,Silver
8698,Private Sector,,Female,Bachelors Degree,Single,0,3.4,Marriott,20,Yes,0,No,Business,0,Silver
8699,Public Sector,57,Female,High School Equivalent,Widowed,,3.64,IHG,39,Yes,0,Yes,Leisure Travel,0,Bronze
8700,Business,49,Female,High School Equivalent,Divorced,,2.74,Marriott,2,Yes,0,Yes,Medical Tourism,0,Bronze
8701,Business,28,Female,MBA,Divorced,,3.07,IHG,35,No,17,Yes,Leisure Travel,1307.785825,Silver
8702,Business,,Male,MBA,Divorced,0,2.53,Hilton,24,No,11,No,Business,0,Bronze
8703,Business,41,Male,MBA,Single,0,3.24,Jumeirah,38,Yes,0,Yes,Business,0.267723084,Gold
